hour_of_day,date,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-05-02,Subscriber,65,7456,661.7220630372493,230941,349
00,2019-05-03,Customer,99,11507,1512.8181818181818,66564,44
00,2019-05-03,Subscriber,63,1021575,3512.3516483516482,1278496,364
00,2019-05-04,Customer,74,83692,2792.2258064516127,173118,62
00,2019-05-04,Subscriber,83,3034,693.6380510440836,298958,431
00,2019-05-05,Customer,152,148201,2835.3153846153846,368591,130
00,2019-05-05,Subscriber,74,13250,701.388036809816,457305,652
00,2019-05-06,Customer,167,1669,717.4444444444445,6457,9
00,2019-05-06,Subscriber,72,9265,696.1127819548872,92583,133
00,2019-05-07,Customer,129,3737,1162.8461538461538,60468,52
00,2019-05-07,Subscriber,77,2658,697.5512367491166,197407,283
00,2019-05-08,Customer,150,2802,823.05,32922,40
00,2019-05-08,Subscriber,69,3206,667.447619047619,210246,315
00,2019-05-09,Customer,78,47382,2382.830188679245,126290,53
00,2019-05-09,Subscriber,68,27314,775.9538834951456,319693,412
00,2019-05-10,Customer,235,3038,1347.1964285714287,75443,56
00,2019-05-10,Subscriber,63,3593,708.9400921658986,307680,434
00,2019-05-11,Customer,136,30287,1509.8030303030303,199294,132
00,2019-05-11,Subscriber,72,47657,877.1063569682152,717473,818
00,2019-05-12,Customer,91,7796,1301.1216216216217,192566,148
00,2019-05-12,Subscriber,78,3493,741.1775312066575,534389,721
00,2019-05-13,Customer,149,2554,1103.3461538461538,28687,26
00,2019-05-13,Subscriber,71,2160,539.0068493150685,78695,146
00,2019-05-14,Customer,209,3853,1062.764705882353,18067,17
00,2019-05-14,Subscriber,67,2631,611.433962264151,129624,212
00,2019-05-15,Customer,183,22035,2298.5333333333333,34478,15
00,2019-05-15,Subscriber,75,2546,635.2222222222222,120057,189
00,2019-05-16,Customer,114,5270,1063.2289156626507,88248,83
00,2019-05-16,Subscriber,75,243173,1373.3739837398373,506775,369
00,2019-05-17,Customer,89,39116,2362.5491803278687,288231,122
00,2019-05-17,Subscriber,66,4282,782.2291666666666,450564,576
00,2019-05-18,Customer,93,45353,2075.2371794871797,323737,156
00,2019-05-18,Subscriber,72,28210,841.9170792079208,680269,808
00,2019-05-19,Customer,187,38053,1760.0928961748634,322097,183
00,2019-05-19,Subscriber,66,6197,776.9444444444445,587370,756
00,2019-05-20,Customer,94,31189,1680.375,67215,40
00,2019-05-20,Subscriber,91,2899,651.056338028169,138675,213
